x1,x2,x3,x4,x5,eps
1.16,0.365,84.005,4,21.68,0.93
1.845,0.12,154.615,2,15.79,0.77
1.13,0.375,90.51,4,21.68,0.77
1.335,0.26,45.415,2,20.13,0.38
1.99,0.145,126.82,2,15.79,0.78
1.745,0.155,54.945,2,42.86,0.11
1.1,0.37,104.47,4,32,1.46
1.145,0.225,55.135,2,13,0.62
1.035,0.225,55.57,2,13,0.27
1.55,0.16,51.495,2,42.86,0.84
1.285,0.415,81.1,4,32,0.97
0.91,0.22,55.595,2,13,0.35
1.595,0.19,42.635,2,42.86,0.62
0.86,0.21,56.335,2,13,0.46
1.855,0.44,41.665,11,380,4.16
1.78,0.42,38.685,11,380,4.74
2.14,0.57,32.165,10,310,3.83
2.355,0.55,36.67,8,266,2.52
2.485,0.585,33.19,6,222,3.66
2.52,0.605,35.525,5,356,2.18
2.55,0.615,33.855,4,490,2.85
1.445,0.145,64.965,6,110390,0.62
1.53,0.115,85.95,3,12238,0.53
2.265,0.52,58.045,4,41254,0.86
1.06,0.28,53.79,3,25548,0.74
1.495,0.39,78.475,7,348647,3.69
1.685,0.185,56.17,20,66350,0.74
2.825,0.245,109.965,9.5,76965.5,1.49
0.925,0.24,42.075,8,759048,2.11
0.905,0.245,62.93,4.5,25499,0.82
1.49,0.38,77.235,7,416782.5,4.33
0.745,0.275,113.255,3,16087.5,0.54
2.18,0.11,121.555,21,157,0.7
1.475,0.185,62.08,25,96579,0.34
0.965,0.25,41.68,8,808944,2.07
1.45,0.195,45.6,10,128339,0.73
1.79,0.22,83.87,5,95511,0.96
1.255,0.32,56,11,46683,1.01
1.425,0.185,67.13,25,96579,0.02
2.015,0.24,50.33,21,77500,-0.01
0.9,0.25,46.205,8,808944,1.5
1.445,0.205,48.82,10,128339,0.31
2.35,0.135,41.325,3,116934,0.55
1.315,0.1,87.075,4,10904,0.03
1.26,0.295,58.37,11,46683,0.76
1.025,0.04,74.27,11,12808,-0.24
2.3,0.105,125.3,21,157,0.34
0.815,0.15,60.265,14,22374,0.11
3.385,0.175,68.95,7,3863296,3.03
2.13,0.17,190.33,10,120564,0.2
1.45,0.205,51.705,10,128339,0.32
